Date,Close/Last,Volume,Open,High,Low
2/7/2023,$153.37 ,41436138,$150.64 ,$155.23 ,$150.64 
2/6/2023,$151.73 ,69858306,$152.58 ,$153.10 ,$150.78 
2/3/2023,$154.50 ,154357337,$148.03 ,$157.38 ,$147.83 
2/2/2023,$150.82 ,118338980,$148.90 ,$151.18 ,$148.17 
2/1/2023,$145.43 ,77663633,$143.97 ,$146.61 ,$141.32 
1/31/2023,$144.29 ,65874459,$142.70 ,$144.34 ,$142.28 
1/30/2023,$143.00 ,64015274,$144.96 ,$145.55 ,$142.85 
1/27/2023,$145.93 ,70555843,$143.16 ,$147.23 ,$143.08 
1/26/2023,$143.96 ,54105068,$143.17 ,$144.25 ,$141.90 
1/25/2023,$141.86 ,65799349,$140.89 ,$142.43 ,$138.81 
1/24/2023,$142.53 ,66435142,$140.31 ,$143.16 ,$140.30 
1/23/2023,$141.11 ,81760313,$138.12 ,$143.32 ,$137.90 
1/20/2023,$137.87 ,80223626,$135.28 ,$138.02 ,$134.22 
1/19/2023,$135.27 ,58280413,$134.08 ,$136.25 ,$133.77 
1/18/2023,$135.21 ,69672800,$136.82 ,$138.61 ,$135.03 
1/17/2023,$135.94 ,63646627,$134.83 ,$137.29 ,$134.13 
1/13/2023,$134.76 ,57809719,$132.03 ,$134.92 ,$131.66 
1/12/2023,$133.41 ,71379648,$133.88 ,$134.26 ,$131.44 
1/11/2023,$133.49 ,69458949,$131.25 ,$133.51 ,$130.46 
1/10/2023,$130.73 ,63896155,$130.26 ,$131.26 ,$128.12 
1/9/2023,$130.15 ,70790813,$130.47 ,$133.41 ,$129.89 
1/6/2023,$129.62 ,87754715,$126.01 ,$130.29 ,$124.89 
1/5/2023,$125.02 ,80962708,$127.13 ,$127.77 ,$124.76 
1/4/2023,$126.36 ,89113633,$126.89 ,$128.66 ,$125.08 
1/3/2023,$125.07 ,112117471,$130.28 ,$130.90 ,$124.17 
12/30/2022,$129.93 ,77034209,$128.41 ,$129.95 ,$127.43 
12/29/2022,$129.61 ,75703710,$127.99 ,$130.48 ,$127.73 
12/28/2022,$126.04 ,85438391,$129.67 ,$131.03 ,$125.87 
12/27/2022,$130.03 ,69007830,$131.38 ,$131.41 ,$128.72 
12/23/2022,$131.86 ,63814893,$130.92 ,$132.42 ,$129.64 
12/22/2022,$132.23 ,77852108,$134.35 ,$134.56 ,$130.30 
12/21/2022,$135.45 ,85927993,$132.98 ,$136.81 ,$132.75 
12/20/2022,$132.30 ,77432819,$131.39 ,$133.25 ,$129.89 
12/19/2022,$132.37 ,79592614,$135.11 ,$135.20 ,$131.32 
12/16/2022,$134.51 ,160156900,$136.69 ,$137.65 ,$133.73 
12/15/2022,$136.50 ,98931907,$141.11 ,$141.80 ,$136.03 
12/14/2022,$143.21 ,82291182,$145.35 ,$146.66 ,$141.16 
12/13/2022,$145.47 ,93886161,$149.50 ,$149.97 ,$144.24 
12/12/2022,$144.49 ,70462654,$142.70 ,$144.50 ,$141.06 
12/9/2022,$142.16 ,76097011,$142.34 ,$145.57 ,$140.90 
12/8/2022,$142.65 ,62128338,$142.36 ,$143.52 ,$141.10 
12/7/2022,$140.94 ,69721094,$142.19 ,$143.37 ,$140.00 
12/6/2022,$142.91 ,64727186,$147.08 ,$147.30 ,$141.92 
12/5/2022,$146.63 ,68826442,$147.77 ,$150.92 ,$145.77 
12/2/2022,$147.81 ,65447446,$145.96 ,$148.00 ,$145.65 
12/1/2022,$148.31 ,71250416,$148.21 ,$149.13 ,$146.61 
11/30/2022,$148.03 ,111380880,$141.40 ,$148.72 ,$140.55 
11/29/2022,$141.17 ,83763803,$144.29 ,$144.81 ,$140.36 
11/28/2022,$144.22 ,69346522,$145.14 ,$146.64 ,$143.38 
11/25/2022,$148.11 ,35195860,$148.31 ,$148.88 ,$147.12 
11/23/2022,$151.07 ,58301395,$149.45 ,$151.83 ,$149.34 
11/22/2022,$150.18 ,51804132,$148.13 ,$150.42 ,$146.93 
11/21/2022,$148.01 ,58724070,$150.16 ,$150.37 ,$147.72 
11/18/2022,$151.29 ,74829573,$152.31 ,$152.70 ,$149.97 
11/17/2022,$150.72 ,80389400,$146.43 ,$151.48 ,$146.15 
11/16/2022,$148.79 ,64218266,$149.13 ,$149.87 ,$147.29 
11/15/2022,$150.04 ,89868332,$152.22 ,$153.59 ,$148.56 
11/14/2022,$148.28 ,73374114,$148.97 ,$150.28 ,$147.43 
11/11/2022,$149.70 ,93979665,$145.82 ,$150.01 ,$144.37 
11/10/2022,$146.87 ,118854028,$141.24 ,$146.87 ,$139.50 
11/9/2022,$134.87 ,74917794,$138.50 ,$138.55 ,$134.59 
11/8/2022,$139.50 ,89908477,$140.41 ,$141.43 ,$137.49 
11/7/2022,$138.92 ,83374628,$137.11 ,$139.15 ,$135.67 
11/4/2022,$138.38 ,140814796,$142.09 ,$142.67 ,$134.38 
11/3/2022,$138.65 ,98080948.44,$141.83 ,$142.56 ,$138.52 
11/2/2022,$144.79 ,93759899.33,$148.70 ,$151.92 ,$144.76 
11/1/2022,$150.40 ,80512682.53,$154.82 ,$155.19 ,$148.88 
10/31/2022,$153.09 ,98105644.34,$152.90 ,$153.99 ,$151.67 
10/28/2022,$155.48 ,165035687.6,$147.96 ,$157.24 ,$147.58 
10/27/2022,$144.56 ,109361263.8,$147.83 ,$148.80 ,$143.89 
10/26/2022,$149.10 ,88582874.63,$150.71 ,$151.74 ,$147.80 
10/25/2022,$152.09 ,74856259.9,$149.84 ,$152.24 ,$149.11 
10/24/2022,$149.20 ,76107960.85,$146.94 ,$149.98 ,$145.76 
10/21/2022,$147.03 ,86692180.44,$142.63 ,$147.60 ,$142.41 
10/20/2022,$143.15 ,64629021.51,$142.78 ,$145.65 ,$142.41 
10/19/2022,$143.62 ,61860788.02,$141.46 ,$144.71 ,$141.27 
10/18/2022,$143.51 ,99301063.08,$145.25 ,$146.46 ,$140.38 
10/17/2022,$142.17 ,85392357.79,$140.83 ,$142.66 ,$140.04 
10/14/2022,$138.15 ,88744940.02,$144.07 ,$144.28 ,$137.96 
10/13/2022,$142.75 ,113411797,$134.77 ,$143.35 ,$134.15 
10/12/2022,$138.11 ,70550583.24,$138.90 ,$140.13 ,$137.93 
10/11/2022,$138.75 ,77161459.55,$139.67 ,$141.12 ,$137.99 
10/10/2022,$140.19 ,75023248.45,$140.19 ,$141.66 ,$138.34 
10/7/2022,$139.86 ,86068096.89,$142.30 ,$142.86 ,$139.21 
10/6/2022,$145.19 ,68515638.16,$145.57 ,$147.30 ,$144.98 
10/5/2022,$146.16 ,79602798.67,$143.84 ,$147.14 ,$142.77 
10/4/2022,$145.86 ,87975761.18,$144.79 ,$145.98 ,$144.02 
10/3/2022,$142.21 ,114501289.3,$137.98 ,$142.83 ,$137.46 
9/30/2022,$137.97 ,125132506.7,$141.05 ,$142.86 ,$137.77 
9/29/2022,$142.24 ,128350799.5,$145.86 ,$146.48 ,$140.45 
9/28/2022,$149.59 ,146934726.5,$147.40 ,$150.39 ,$144.60 
9/27/2022,$151.51 ,84582819.11,$152.49 ,$154.46 ,$149.70 
9/26/2022,$150.52 ,93494245.38,$149.41 ,$153.52 ,$149.39 
9/23/2022,$150.18 ,96189208.52,$150.94 ,$151.22 ,$148.31 
9/22/2022,$152.49 ,86796285.85,$152.13 ,$154.21 ,$150.66 
9/21/2022,$153.47 ,101865490,$157.08 ,$158.48 ,$153.35 
9/20/2022,$156.64 ,107868437.6,$153.15 ,$157.82 ,$152.83 
